Project,DIN_Ebene1,DIN_Ebene1_Beschreibung,DIN_Ebene2,DIN_Ebene2_Beschreibung,DIN_Ebene3,DIN_E3_Beschreibung,prav. Personalkosten,prav. Materialkosten,korr. Personalkosten,korr. Materialkosten,Gesamtkosten
HFX,B,B -- Fahrzeugkasten,BA,BA -- Fahrzeugkasten,BA01,BA01 -- Wagenkastenrohbau Stahl,4930.240146,4327.351564,1624.162323,1445.727127,12327.48116
HFX,B,B -- Fahrzeugkasten,BA,BA -- Fahrzeugkasten,BA02,BA02 -- Wagenkastenrohbau Aluminium,4939.839766,4324.760402,1641.732501,1652.696128,12559.0288
HFX,B,B -- Fahrzeugkasten,BB,BB -- Untergestell,BB01,BB01 -- Untergestell,4819.087802,3839.191819,1945.175325,1394.72487,11998.17982
HFX,B,B -- Fahrzeugkasten,BC,BC -- Längswände,BC01,BC01 -- Längswände,5246.809057,4082.846774,1831.649572,1236.430496,12397.7359
HFX,B,B -- Fahrzeugkasten,BD,BD -- Dach,BD01,BD01 -- Dach,5640.202792,4528.70423,1933.473426,1344.655383,13447.03583
HFX,B,B -- Fahrzeugkasten,BE,BE -- Fahrzeugkopf,BE01,BE01 -- Bugmaske / Frontkabine / Fahrzeugkopf,4460.083806,4124.998921,1781.973843,1418.26143,11785.318
HFX,B,B -- Fahrzeugkasten,BE,BE -- Fahrzeugkopf,BE02,BE02 -- Crashelemente / Crashmodule,5003.485411,3910.539544,1155.238722,1709.190499,11778.45418
HFX,B,B -- Fahrzeugkasten,BF,BF -- Stimwände,BF01,BF01 -- Stimwände,4107.642081,6161.132381,1479.822735,1639.854713,13388.45191
HFX,B,B -- Fahrzeugkasten,BG,"BG -- Anschweißteile, Anbauteile",BG01,"BG01 -- Anschweißteile, Anbauteile",4731.819332,4738.675869,1708.245298,1659.357077,12838.09758
HFX,B,B -- Fahrzeugkasten,BH,BH -- Zwischendecke,BH01,BH01 -- Zwischendecke,4928.946642,4237.720042,1530.562927,1326.743451,12023.97306
HFX,B,B -- Fahrzeugkasten,BJ,BJ -- Zwischenwände,BJ01,BJ01 -- Zwischenwände,4438.762153,5576.654094,1351.209029,1991.994394,13358.61967
HFX,C,C -- Fahrzeugausbau,CA,CA -- Fahrzeugausbau,CA01,CA01 -- Schließsystem,5104.96384,3859.225368,1686.915753,1479.582622,12130.68758
HFX,C,C -- Fahrzeugausbau,CA,CA -- Fahrzeugausbau,CA02,CA02 -- Rollos,3874.323211,5569.494254,1542.637478,1462.274908,12448.72985
HFX,C,C -- Fahrzeugausbau,CA,CA -- Fahrzeugausbau,CA03,CA03 -- Schottkasten & Schottbleche,4045.068785,5969.499212,1282.862149,1666.492227,12963.92237
HFX,C,C -- Fahrzeugausbau,CA,CA -- Fahrzeugausbau,CA04,CA04 -- Steckerkiste,3925.761438,4786.27869,1956.595602,1375.93601,12044.57174
HFX,C,C -- Fahrzeugausbau,CA,CA -- Fahrzeugausbau,CA05,CA05 -- Nutensteine spezial,4833.553356,4109.095277,1490.570794,1582.097148,12015.31658
HFX,C,C -- Fahrzeugausbau,CA,CA -- Fahrzeugausbau,CA06,CA06 -- Schrauben und Normteile,5685.359517,4412.910227,1536.002448,1716.429904,13350.7021
HFX,C,C -- Fahrzeugausbau,CA,CA -- Fahrzeugausbau,CA07,CA07 -- C-Schienen,4568.326223,4429.995201,1816.016496,1253.844259,12068.18218
HFX,C,C -- Fahrzeugausbau,CA,CA -- Fahrzeugausbau,CA08,"CA08 -- Befestigungskonsole, thermische Distanzhalter (Kunststoff)",3854.106322,4723.524528,1834.387416,1336.875762,11748.89403
