Project,DIN_Ebene1,DIN_Ebene1_Beschreibung,Gesamtkosten,Inspektion,Wartung,Zustandsermittlung,Revision,Tausch,Betriebsprüfung,Betriebsservice,Vorbereitung,Nachbereitung,Reparatur am Objekt
HFX,B,B -- Fahrzeugkasten,12327.48116,1782.1213374718864,925.8363083528423,930.096135684796,1153.9265377083734,1635.5404036302584,1542.3269899112465,1325.8866284112469,1798.0315558614484,674.9900254190948,558.7252375488051
HFX,B,B -- Fahrzeugkasten,12559.0288,1153.3947484974667,1079.1578408650098,759.2837202248375,1769.3645511379102,1314.0335152670382,1643.4580097839716,1236.4711208382594,871.7323758000605,1066.4236552922512,1665.709262293195
HFX,B,B -- Fahrzeugkasten,11998.17982,901.7282842834001,1251.402046948033,1739.6213111615384,1703.2168401231042,1328.0407769029407,1174.1957393587122,650.2610678693048,1160.6649847439867,1199.478301992417,889.570466616563
HFX,B,B -- Fahrzeugkasten,12397.7359,1328.852528875592,1724.039740354759,847.402112366787,1756.7856370421032,1290.6662612283703,1567.736306889974,1242.1032997504094,1142.0239133361824,764.315238728339,733.8108614274834
HFX,B,B -- Fahrzeugkasten,13447.03583,1702.666568966083,1653.8949878371086,883.2082276001447,817.6165621573994,1481.6974080562227,723.1220128936318,1382.5492435007027,1959.7961755844044,1625.9989543886227,1216.4856890156766
HFX,B,B -- Fahrzeugkasten,11785.318,1598.137092884591,948.5110610182228,1183.053594039082,882.2997599535463,783.6965062731333,1360.1047860880017,1601.1627274631335,1313.701422973797,1555.9454538135394,558.7055954929522
HFX,B,B -- Fahrzeugkasten,11778.45418,764.4307193063368,657.5668738635403,1158.0808312253469,1700.1524844903993,1258.1282586428845,742.0629963543556,660.3166726942748,826.447300180411,650.2031393822747,3361.0649038601787
HFX,B,B -- Fahrzeugkasten,13388.45191,1741.858238132405,1343.8005183278838,1511.2388298605051,1888.6457258889927,1767.547231007908,1949.2847055018528,1025.0273025667939,1498.769419428128,669.3057300763942,-7.025790790864221
HFX,B,B -- Fahrzeugkasten,12838.09758,1474.114263928987,1103.9740129483346,1542.150806394743,1576.9861947461218,1622.7003351571702,1688.0554091554213,816.9500555192247,1674.5358742294275,1186.864872115917,151.7657558046526
HFX,B,B -- Fahrzeugkasten,12023.97306,1388.9929974526506,1265.0473743314956,1710.4585061063376,1068.1745021535453,1052.3220506737596,1741.7586490125195,813.738298857087,1712.9112961588921,606.8370212564486,663.7323639972634
HFX,B,B -- Fahrzeugkasten,13358.61967,1380.6715804102832,1138.7123469602054,1984.3261789310027,956.2486679893254,741.1240109255035,1017.2872644194197,1733.752747271562,1866.7114235295976,780.2186542704655,1759.566795292638
HFX,C,C -- Fahrzeugausbau,12130.68758,1222.1258444193745,825.103983597306,1722.988516198914,1301.7489295344274,766.9973870506751,1154.4801466176166,1187.4179933512391,1193.9896024808918,1126.6657017458888,1629.1694750036645
HFX,C,C -- Fahrzeugausbau,12448.72985,1815.3263766379112,711.8254613407871,1176.0693192093577,1188.9747529187787,1594.5111032119437,1840.8456316327297,1345.5251487589644,1092.9871686653107,754.2620803663614,928.4028072578559
HFX,C,C -- Fahrzeugausbau,12963.92237,699.9589088501131,1688.8285005922082,1325.536596829314,793.6942098166658,1926.3076105237103,855.7910539993402,777.3130141952711,913.5192673467197,925.4049370056659,3057.5682708409936
HFX,C,C -- Fahrzeugausbau,12044.57174,1377.29703604502,1540.4868739547874,1634.6190281892186,646.2004929185093,1353.56656011484,800.982085914078,1501.6916873388025,1222.7588029608369,641.0040249741875,1325.9651475897185
HFX,C,C -- Fahrzeugausbau,12015.31658,1706.041562908165,1656.5765957531612,1013.5213707592168,1681.9474209501836,1199.6930716060303,1529.7690886152209,887.6347224661811,1092.2203882365318,774.9376092931806,472.97474941213056
HFX,C,C -- Fahrzeugausbau,13350.7021,1148.6872692342229,1539.9423340364483,1339.0162743248416,1599.63000197691,1019.4608944296288,1298.4967102107535,1364.3000917633535,1010.7953485343853,1748.704728632742,1281.668446856716
HFX,C,C -- Fahrzeugausbau,12068.18218,977.094218759795,1412.2255247727496,1182.9810401601112,1678.0533984154436,1641.6782131719888,1657.8834195643913,1293.788952698303,1729.7525782689572,555.0990333279912,-60.37419913973292
HFX,C,C -- Fahrzeugausbau,11748.89403,1000.180207054979,624.9834621214911,627.4373936071099,926.4379383980147,1120.988583161377,1514.3023704056136,1135.006287285727,866.9991114470724,1531.3520060467959,2401.2066704718204
HFX,C,C -- Fahrzeugausbau,11947.63983,939.0341245049956,1113.9183773031614,769.3909439213546,828.918915760695,1747.489372973214,1415.9002683593035,631.7278827762616,911.351885929512,1335.3998170826417,2254.508241388862
HFX,C,C -- Fahrzeugausbau,12087.39849,1704.2309791703608,755.942236361338,877.0921705477531,1574.7731409644196,1348.4320107222993,722.8049539333656,1667.2524850960597,619.9049747513155,1223.7016102813213,1593.2639281717666
HFX,C,C -- Fahrzeugausbau,13320.28317,1019.6471582724325,1153.0066868734584,1723.3966903049472,1951.6022249889572,990.857327382927,987.0901208010332,1980.454700400557,867.1088553950436,750.6571331265293,1896.4622724541157
HFX,C,C -- Fahrzeugausbau,12478.6012,1233.7080075285262,1793.20629076059,1610.8952632743126,1654.4518603797687,1127.6496395497575,725.7620476469625,1158.6867786522662,1212.3189604824186,710.5265543620842,1251.3957973633114
HFX,C,C -- Fahrzeugausbau,12864.70389,1213.8644960377217,1607.8734646483647,1860.8920642855492,1002.5978725594355,1492.4396599110796,1417.7726990875108,1894.0734503997578,830.3655819205886,847.7524750463137,697.072126103679
HFX,C,C -- Fahrzeugausbau,12058.66203,809.6274956581793,1420.0509580364196,1059.6530213403635,1359.6583338637201,1742.3306672595863,1123.6000832294671,750.9702839796763,1155.91962014798,703.0572981157712,1933.7942683688343
HFX,C,C -- Fahrzeugausbau,12467.90438,1172.7840410306683,1161.7615981737745,939.5141353991116,1797.9188383918345,1605.1069536388964,929.3011266804866,1433.7839918557434,1859.6625779727965,1350.020352768163,218.05076408852506
